origen,destinos,detalle_destinos,fechas_diferentes,firmas_de_ataque,detalle_firmas,patrones_de_ataque,pais,niveles_de_amenaza,doc_count
162.0.228.203,18,190.248.8.37:3638144|10.0.1.19:9714|10.0.0.75:55|10.0.0.60:7|10.0.1.200:7|10.0.0.31:4|10.0.0.32:4|10.0.0.33:3|10.0.0.45:3,18,4,Application Availability/Errors and Logs:9769|File Injection:17|Directory Traversal:5|Cross Site Scripting (Extended):1,18,United States,High:9797,3647941
192.155.92.251,12,190.248.8.37:3275877|10.0.1.19:9951|10.0.1.211:51|10.0.0.60:6|10.0.0.32:5|10.0.1.200:5|10.0.0.31:3|10.0.0.45:2,12,5,Application Availability/Errors and Logs:10002|File Injection:10|Command Injection:5|Directory Traversal:5|Cross Site Scripting (Extended):1,12,United States,High:10023,3285900
200.122.241.50,5,10.0.0.60:545907|190.248.8.37:305763|10.0.0.32:298633|10.0.0.31:298511|10.0.0.33:297960|10.0.1.92:72558|10.0.0.76:72498|10.0.1.19:1,5,3,Command Injection:18835|Directory Traversal:39|RFI Injection:12,5,Colombia,Medium:1567182|High:18886,1891831
172.30.5.7,2,190.248.8.37:1066757|10.0.0.58:1895|10.0.1.19:1108|10.0.0.73:4,2,1,Application Availability/Errors and Logs:1115,2,Reserved,Medium:1892|High:1115,1069764
129.153.11.62,6,190.248.8.37:441188|190.248.28.247:20229|10.0.1.91:8830|10.0.0.45:6871|10.0.0.33:107|10.0.0.31:97|10.0.0.32:96|10.0.0.76:2|10.0.0.60:1|10.0.1.92:1,6,3,Command Injection:15544|Directory Traversal:92|RFI Injection:62,6,United States,High:15698|Medium:307,477422
10.99.107.240,19,10.0.0.62:425141,19,7,HTTP Header Leakage:401360|Application Availability/Errors:3145|SQL Errors leakage:613|PHP Information Leakage:65|PHP Source Code Leakage:31|Directory Listing:1|RFI Injection:1,19,Reserved,High:405603|Low:19531|Medium:7,425141
201.184.17.90,9,10.0.0.80:282421|190.248.8.37:2,9,5,HTTP Header Leakage:282129|RFI Injection:204|IFrame Injection:71|Application Availability/Errors:7|Client-Side URL Redirect:1,9,Colombia,High:282413|Medium:8,282423
190.131.249.163,10,10.0.0.80:184547,10,5,HTTP Header Leakage:184197|RFI Injection:245|IFrame Injection:70|Application Availability/Errors:32|Credit Card Number:3,10,Colombia,High:184547,184547
54.225.152.239,0,190.248.8.37:138786|190.248.53.155:12690|190.248.27.75:12689|190.248.28.247:8456|200.13.237.249:8445,0,0,,0,United States,,181066
