motor,reputacion
 Abusix ,Clean
 Acronis ,Clean
 ADMINUSLabs ,Clean
 AILabs (MONITORAPP) ,Clean
 AlienVault ,Clean
 alphaMountain.ai ,Clean
 Antiy-AVL ,Clean
 Avira ,Clean
 benkow.cc ,Clean
 Bfore.Ai PreCrime ,Clean
 BitDefender ,Clean
 Blueliv ,Clean
 Certego ,Clean
 Chong Lua Dao ,Clean
 CINS Army ,Clean
 CMC Threat Intelligence ,Clean
 CRDF ,Clean
 Criminal IP ,Clean
 Cyble ,Clean
 CyRadar ,Clean
 desenmascara.me ,Clean
 DNS8 ,Clean
 Dr.Web ,Clean
 EmergingThreats ,Clean
 Emsisoft ,Clean
 ESET ,Clean
 ESTsecurity ,Clean
 Fortinet ,Clean
 G-Data ,Clean
 Google Safebrowsing ,Clean
 GreenSnow ,Clean
 Heimdal Security ,Clean
 IPsum ,Clean
 Juniper Networks ,Clean
 K7AntiVirus ,Clean
 Lionic ,Clean
 Malwared ,Clean
 MalwarePatrol ,Clean
 malwares.com URL checker ,Clean
 OpenPhish ,Clean
 Phishing Database ,Clean
 Phishtank ,Clean
 PREBYTES ,Clean
 Quick Heal ,Clean
 Quttera ,Clean
 Scantitan ,Clean
 SCUMWARE.org ,Clean
 Seclookup ,Clean
 securolytics ,Clean
 Snort IP sample list ,Clean
 Sophos ,Clean
 Spam404 ,Clean
 StopForumSpam ,Clean
 Sucuri SiteCheck ,Clean
 ThreatHive ,Clean
 Threatsourcing ,Clean
 Trustwave ,Clean
 URLhaus ,Clean
 Viettel Threat Intelligence ,Clean
 ViriBack ,Clean
 VX Vault ,Clean
 Webroot ,Clean
 Yandex Safebrowsing ,Clean
 ZeroCERT ,Clean
 0xSI_f33d ,Unrated
 AlphaSOC ,Unrated
 ArcSight Threat Intelligence ,Unrated
 AutoShun ,Unrated
 Bkav ,Unrated
 Cluster25 ,Unrated
 Cyan ,Unrated
 Ermes ,Unrated
 Forcepoint ThreatSeeker ,Unrated
 Gridinsoft ,Unrated
 Kaspersky ,Unrated
 Lumu ,Unrated
 MalwareURL ,Unrated
 Netcraft ,Unrated
 PhishFort ,Unrated
 PhishLabs ,Unrated
 PrecisionSec ,Unrated
 SafeToOpen ,Unrated
 SecureBrain ,Unrated
 Segasec ,Unrated
 SOCRadar ,Unrated
 URLQuery ,Unrated
 VIPRE ,Unrated
 Xcitium Verdict Cloud ,Unrated
 zvelo ,Unrated
